OF_RATIO,C_STAR,DENSITY,MOL_WEIGHT,CP_CV,CHAMBER_TEMP,ISP
,3.5,4737.332,0.05647,21.653,1.29,2402.62,212.7229984
,3.75,4829.112,0.0571,22.231,1.283,2556.832,217.2482527
,4,4911.297,0.05767,22.772,1.277,2694.165,220.9384262
,4.25,4980.352,0.0582,23.2743,1.2718,2815.859,223.952764
,4.5,5038.265,0.0587,23.741,1.267,2922.791,226.4114303
,4.75,5086.672,0.05916,24.172,1.263,3015.487,228.3379431
,5,5126.755,0.05958,24.5688,1.26,3094.245,229.7471949
,5.25,5159.574,0.0599783,24.93085,1.257,3159.425,230.7879561
,5.5,5192.188,0.06035,25.259,1.255,3211.743,231.393177
,5.75,5208.506,0.0607,25.556,1.253,3252.392,231.7156902
,6,5230.84,0.06102,25.824,1.2514,3282.987,231.7683952
,6.25,5244.457,0.06133,26.0653,1.25,3305.233,231.6282423
,6.5,5265.507,0.06162,26.284,1.249,3320.76,231.3144746
,6.75,5280.96,0.0619,26.482,1.248,3330.97,230.9128701
,7,5294.976,0.06215,26.6637,1.2477,3337.002,230.3662163
,7.25,5305.793,0.0624,26.83,1.247,3339.758,229.8233358
,7.5,5318.282,0.06263,26.98,1.24683,3339.948,229.2088472
