OF_RATIO,C_STAR,DENSITY,MOL_WEIGHT,CP_CV,CHAMBER_TEMP,ISP
,3.5,4735.355,0.056,21.65,1.29,2402.345,211.4304478
,3.75,4829.196,0.0571,22.23,1.283,2556.325,215.8985748
,4,4911.463,0.0577,22.77,1.277,2693.341,219.5494409
,4.25,4980.536,0.0582,23.27,1.27,2814.639,222.7142258
,4.5,5038.438,0.0587,23.737,1.267,2921.1,224.9502726
,4.75,5086.832,0.059,24.168,1.26,3013.257,227.1525141
,5,5126.908,0.05958,24.56,1.26,3091.424,228.2364076
,5.25,5159.707,0.0599,24.924,1.257,3155.986,229.2353719
,5.5,5192.56,0.06,25.25,1.255,3207.699,229.8228323
,5.75,5214.313,0.061,25.55,1.253,3247.795,230.1079396
,6,5231.265,0.061,25.8,1.252,3277.914,230.1574969
,6.25,5253.755,0.061,26.05,1.25,3299.773,230.0289421
,6.5,5266.162,0.0616,26.27,1.249,3314.998,229.6997791
,6.75,5281.65,0.062,26.469,1.2485,3324.983,229.2331443
,7,5295.678,0.062,26.65,1.248,3330.852,228.708925
,7.25,5306.607,0.062,26.816,1.247,3333.497,228.1983859
,7.5,5322.248,0.0626,26.968,1.247,3333.619,227.5585428
