OF_RATIO,C_STAR,DENSITY,MOL_WEIGHT,CP_CV,CHAMBER_TEMP,ISP
,3.5,4733.861,0.0564,21.652,1.29,2402.045,210.0004079
,3.75,4829.361,0.0571,22.23,1.28,2555.771,214.7073053
,4,4911.677,0.0577,22.768,1.277,2692.442,218.0401617
,4.25,4980.748,0.058,23.269,1.271,2813.309,221.0527568
,4.5,5038.64,0.0587,23.734,1.2674,2919.262,223.3180328
,4.75,5087.021,0.059,24.16,1.26,3010.839,225.5357955
,5,5127.098,0.0596,24.557,1.26,3088.374,226.5674241
,5.25,5159.894,0.0599,24.9167,1.257,3152.277,227.5516094
,5.5,5192.998,0.06,25.24,1.255,3203.348,228.1221858
,5.75,5214.713,0.06,25.53,1.25,3242.86,228.7434101
,6,5231.698,0.061,25.8,1.25,3272.478,228.5800975
,6.25,5254.52,0.061,26.04,1.25,3293.93,228.2688189
,6.5,5266.827,0.062,26.258,1.249,3308.841,227.9387522
,6.75,5282.237,0.062,26.45,1.248,3318.591,227.5498774
,7,5296.253,0.062,26.64,1.248,3324.29,226.9315711
,7.25,5307.278,0.062,26.8,1.247,3326.821,226.4445319
,7.5,5323.28,0.0626,26.95,1.247,3326.87,225.8151359
