OF_RATIO,C_STAR,DENSITY,MOL_WEIGHT,CP_CV,CHAMBER_TEMP,ISP
,3.5,4749.448,0.056,21.655,1.29,2403.484,217.0733646
,3.75,4829.373,0.057,22.235,1.283,2558.427,221.7477621
,4,4910.882,0.058,22.776,1.277,2696.767,225.5861843
,4.25,4979.854,0.058,23.282,1.272,2819.73,228.7000353
,4.5,5037.859,0.059,23.751,1.267,2928.182,231.3045529
,4.75,5086.343,0.592,24.186,1.263,3022.626,233.3386332
,5,5126.504,0.06,24.587,1.26,3103.322,234.8439448
,5.25,5159.417,0.06,24.953,1.257,3170.545,235.9774028
,5.5,5185.96,0.06,25.286,1.254,3224.89,236.7730415
,5.75,5208.082,0.061,25.586,1.253,3267.408,237.0461483
,6,5225.108,0.061,25.857,1.251,3299.626,237.1986022
,6.25,5239.027,0.061,26.102,1.25,3323.206,237.0442605
,6.5,5250.714,0.062,26.324,1.249,3339.771,236.7496919
,6.75,5270.794,0.062,26.524,1.248,3350.77,236.3630451
,7,5286.133,0.062,26.707,1.247,3357.368,235.9032371
,7.25,5302.832,0.062,26.875,1.247,3360.52,235.2751105
,7.5,5312.278,0.063,27.028,1.246,3360.955,234.7426615
