OF_RATIO,C_STAR,DENSITY,MOL_WEIGHT,CP_CV,CHAMBER_TEMP,ISP
,3.5,4732.836,0.056,21.65,1.29,2401.714,208.4579907
,3.75,4829.543,0.057,22.23,1.28,2555.162,213.0926895
,4,4911.917,0.0576,22.77,1.278,2691.456,216.2787646
,4.25,4981.006,0.0581,23.27,1.27,2811.852,219.4345394
,4.5,5038.904,0.059,23.73,1.267,2917.254,221.6234328
,4.75,5087.272,0.059,24.158,1.26,3008.206,223.7406176
,5,5127.338,0.0595,24.55,1.26,3085.058,224.7643625
,5.25,5166.979,0.0599,24.91,1.257,3148.257,225.7103362
,5.5,5193.515,0.06,25.233,1.255,3198.643,226.2514434
,5.75,5215.525,0.061,25.53,1.25,3237.537,226.8066768
,6,5240.323,0.061,25.79,1.252,3266.627,226.4667435
,6.25,5255.325,0.061,26.03,1.251,3287.652,226.2469562
,6.5,5272.03,0.062,26.245,1.25,3302.233,225.9198757
,6.75,5286.432,0.062,26.44,1.249,3311.734,225.5112554
,7,5297.218,0.062,26.62,1.248,3317.261,225.0374314
,7.25,5308.659,0.062,26.78,1.248,3319.673,224.4457225
,7.5,5317.091,0.0625,26.937,1.248,3319.647,223.7898089
